id,title,type,directors,actors,release_year,duration,categories,plot
4204,remastered massacre at the stadium,movie,bentjorgen perlmutt,,2019,65 min,"documentaries,music  musicals",the shocking murder of singer victor jara in 1973 turned him into a powerful symbol of chiles struggle decades later a quest for justice unfolds
4205,solo,movie,hugo stuven,"alain hernández,aura garrido,ben temple",2018,91 min,"dramas,independent movies,international movies",in a remote area of the canary islands a surfer falls off a cliff fighting to survive he reflects on his life and past romance based on true events
4206,the last laugh,movie,greg pritikin,"chevy chase,richard dreyfuss,andie macdowell,kate micucci,chris parnell,george wallace,lewis black",2019,99 min,"comedies,dramas",after moving to a retirement home restless talent manager al reconnects with longago client buddy and coaxes him back out on the comedy circuit
4207,pocoyo,tv show,,"stephen fry,alex marty",2017,4 seasons,"kids tv,spanishlanguage tv shows",discovery is the name of the game for friendly toddler pocoyo in this lifelike and richly colored animated adventure series for preschoolers
4208,when heroes fly,tv show,,"tomer kapon,ninet tayeb,michael aloni,nadav nates,moshe ashkenazi,vanessa chaplot,yael sharoni,gil frank,oded fehr,dan mor",2018,1 season,"international tv shows,tv action  adventure,tv dramas",years after a bitter falling out four israeli military veterans reunite and travel to colombia in search of a loved one they would presumed to be dead
4209,godzilla the planet eater,movie,"kobun shizuno,hiroyuki seshita","mamoru miyano,takahiro sakurai,kana hanazawa,tomokazu sugita,yuki kaji,junichi suwabe,reina ueda,ari ozawa,daisuke ono,kenta miyake,kenyu horiuchi,kazuya nakai,kazuhiro yamaji",2018,91 min,"action  adventure,anime features,international movies",with the earth alliance weakened haruo weighs siding with the exif whose death cult is summoning a monster that can destroy the world
4210,next enti,movie,kunal kohli,"navdeep,larissa bonesi,sarathbabu,tamannaah bhatia,sundeep kishan,poonam kaur",2018,117 min,"comedies,dramas,international movies",clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship before suddenly crossing paths again
4211,komola rocket,movie,noor imran mithu,"tauquir ahmed,mosharraf karim,joyraj,samia said,dominic gomez",2018,95 min,"dramas,independent movies,international movies",as the lives of rich and poor passengers aboard a steamship unfold buried secrets lustful affairs and selfish desires are exposed
4212,nang nak,movie,nonzee nimibutr,"inthira charoenpura,winai kraibutr",1999,101 min,"horror movies,international movies,romantic movies",in this adaptation of a thai folk tale a man returns from war to his family unaware of a sad secret about what happened to them while he was away
4213,and breathe normally,movie,ísold uggadóttir,"kristin thora haraldsdottir,babetida sadjo,patrik nökkvi petursson",2018,102 min,"dramas,independent movies,international movies",an icelandic single mom struggling with poverty and a guineabissauan asylum seeker facing deportation find their lives intertwined in unexpected ways
4214,el potro unstoppable,movie,lorena munoz,"jimena barón,rodrigo romero,diego cremonesi,daniel aráoz,malena sánchez,julieta vallina,florencia peña,simja dujov,adan otero,fernán mirás",2018,122 min,"dramas,international movies,music  musicals",argentine cuarteto singer rodrigo el potro bueno rises to fame amid personal struggles in this dramatization of the charismatic superstars life
4215,lionheart,movie,genevieve nnaji,"genevieve nnaji,nkem owoh,pete edochie,onyeka onwenu,kanayo o kanayo",2018,95 min,"comedies,dramas,independent movies",when her father falls ill adaeze steps up to run the family business  alongside her uncle  and prove herself in a maledominated world
4216,see you in time,tv show,,"hans chung,mini tsai,albee huang,david chiu,johnny yang,kuan lin,ray yang,liu yu shan",2017,1 season,"international tv shows,romantic tv shows,tv dramas",a series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist
4217,déjà vu,tv show,,"mandy wei,yao yuan hao,wang si ping,yang zheng,jenna wang,nylon chen",2013,1 season,"international tv shows,romantic tv shows,tv dramas",after losing everything a prima ballerina accepts a strangers offer to dial back time and reclaim what was taken from her  but at a great price
4218,monty python and the holy grail,movie,"terry gilliam,terry jones","graham chapman,john cleese,eric idle,terry gilliam,terry jones,michael palin,connie booth,carol cleveland,neil innes",1975,92 min,"action  adventure,classic movies,comedies",the monty python comedy clan skewers king arthur and his knights of the round table as they quest far and wide for the holy grail
4219,a series of unfortunate events,tv show,,"neil patrick harris,patrick warburton,malina weissman,louis hynes,k todd freeman,joan cusack,aasif mandvi",2019,3 seasons,"kids tv,tv action  adventure,tv comedies",the extraordinary baudelaire orphans face trials tribulations and the evil count olaf in their fateful quest to unlock longheld family secrets
4220,back to the 90s,movie,yanyong kuruaungkoul,"dan aaron ramnarong,pimchanok leuwisetpaiboon,chanintorn jitpreeda,chonlakarn puangnoy,achita pramoj na ayudhya,vichuda pindum,kriengsak hrientong,likit sittiphun",2015,111 min,"comedies,international movies,music  musicals",when a teenager is transported back to his parents high school days he has the chance to alter the events that led to their unhappy marriage
4221,comedians of the world,tv show,,"neal brennan,chris delia,nicole byer,nick swardson,deanne smith,ivan decker,dave merheje,k trevor wilson,joel dommett,mae martin,nish kumar,ellie taylor,urzila carlson,joel creasey,nazeem hussain,cal wilson,riaad moosa,tumi morake,loyiso gola,loyiso madinga,atul khatri,aditi mittal,amit tandon,franco escamilla,hugo el cojo feliz,gaby llanas,enissa amani,ilka bessin,kaya yanar,thiago ventura,mhel merrer,afonso padilha,shirley souagnon,jason brokerss,tania dutel,donel jacksman,ibraheem alkhairallah,rawsan hallak,adi khalefa,moayad alnefaie,louisjosé houde,françois bellefeuille,katherine levac,adib alkhalidey,martijn koning,soundos el ahmadi,rayen panday",2019,13 seasons,"standup comedy  talk shows,tv comedies",this global standup comedy series features a diverse set of comics from 13 regions bringing their perspectives on what is funny around the world
4222,merku thodarchi malai,movie,lenin bharathi,"antony,gayathri krishna,abu valayamkulam,anthony vaathiyaar,aarubala,sornam",2018,115 min,"dramas,independent movies,international movies",in southern india a laborers dreams of owning a piece of land to farm is complicated by political corruption
4223,moshe kasher live in oakland,movie,jay chapman,moshe kasher,2012,61 min,standup comedy,comic moshe kasher returns to his home turf of oakland for this standup special that has him sharing uproarious stories about the people he is met
4224,pokémon the movie i choose you,movie,kunihiko yuyama,"ikue otani,sarah natochenny,david oliver nelson,mike pollock,kate bristol,suzy myers,rodger parsons",2017,97 min,"anime features,children  family movies",when ash tries to pick his first pokémon on his birthday he ends up with a stubborn pikachu and they embark on a journey to find the legendary hooh
4225,puriyatha puthir,movie,ranjit jeyakodi,"vijay sethupathi,gayathrie,mahima nambiar,arjunan,ramesh thilak,ranjith",2017,120 min,"international movies,thrillers",an aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him
4226,taramani,movie,ram,"andrea jeremiah,anjali,vasanth ravi,adrian knight jesly,azhagamperumal,lizzie antony,nivas adithan,abhishek d shah",2017,148 min,"dramas,independent movies,international movies",a traditional man and an independent woman share a connection but they must learn to navigate their vastly different experiences and expectations
4227,the paper,tv show,,"branka katić,trpimir jurkic,aleksandar cvetković,zijad gračić,olga pakalović,goran markovic,edita karađole,zdenko jelcic,tihana lazovic,mijo jurišić,dajana čuljak,alen liverić,anja matković,dragan despot",2018,2 seasons,"international tv shows,tv dramas",a construction magnate takes over a struggling newspaper and attempts to wield editorial influence for power and personal gain
4228,tidying up with marie kondo,tv show,,marie kondo,2019,1 season,reality tv,in a series of inspiring home makeovers worldrenowned tidying expert marie kondo helps clients clear out the clutter  and choose joy
4229,whitney cummings money shot,movie,john fortenberry,whitney cummings,2010,48 min,standup comedy,comedy central roast veteran whitney cummings gets the stage to herself in this debut special which finds her riffing on a wide range of topics
4230,bill hicks one night stand,movie,john fortenberry,bill hicks,1991,28 min,standup comedy,bill hicks remembers a wild night in 1989 and offers his views on puffing cigarettes smoking weed drinking sex commercials and music
4231,bill hicks reflections,movie,,"bill hicks,steve hicks",2015,34 min,documentaries,this documentary about comedian bill hicks offers insight into his irreverent takes on well everything brother steve hicks is the star witness
4232,bill hicks relentless,movie,chris bould,bill hicks,1992,61 min,standup comedy,in one of his most iconic performances late comedian bill hicks demonstrates what made him such a singular talent and a force to be reckoned with
4233,bill hicks revelations,movie,chris bould,bill hicks,1993,56 min,standup comedy,in his final recorded special the iconoclastic comedian channels goat boy and tackles provocative topics like british porn pot and the priesthood
4234,bill hicks sane man,movie,"kevin booth,david johndrow",bill hicks,1989,81 min,standup comedy,filmed in 1989 at a turning point in comedian bill hickss career this rare onstage performance captures him spouting off on a variety of topics
4235,gina yashere laughing to america,movie,paul m green,gina yashere,2013,68 min,standup comedy,british comic gina yashere takes the stage in san francisco where she shares her thoughts on everything from toilet ninjas to her troublesome name
4236,gina yashere skinny btch,movie,,gina yashere,2008,58 min,standup comedy,standup comedian and daily show correspondent gina yashere delivers a sharp set of wry observations on the environment money and more
